index,precision,recall,f1-score,support,model_name,data_set,parameters
0,0.9340277777777778,0.950530035335689,0.9422066549912433,283.0,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
1,0.5625,0.4864864864864865,0.5217391304347827,37.0,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
accuracy,0.896875,0.896875,0.896875,0.896875,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
macro avg,0.7482638888888888,0.7185082609110878,0.731972892713013,320.0,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
weighted avg,0.8910698784722223,0.896875,0.8935900974644024,320.0,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
0,0.9417808219178082,0.9717314487632509,0.9565217391304347,283.0,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
1,0.7142857142857143,0.5405405405405406,0.6153846153846154,37.0,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
macro avg,0.8280332681017613,0.7561359946518957,0.785953177257525,320.0,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
weighted avg,0.9154767000978474,0.921875,0.9170777591973243,320.0,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
0,0.9147540983606557,0.9858657243816255,0.9489795918367346,283.0,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
1,0.7333333333333333,0.2972972972972973,0.42307692307692313,37.0,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
accuracy,0.90625,0.90625,0.90625,0.90625,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
macro avg,0.8240437158469944,0.6415815108394614,0.6860282574568288,320.0,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
weighted avg,0.8937773224043715,0.90625,0.8881720957613813,320.0,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
